2026-03-16 06:21:09 - legacy_replication - INFO - Config: {
  "model_type": "legacy_replication",
  "batch_size": 512,
  "micro_batch_size": 32,
  "accumulation_steps": 16,
  "effective_batch_size": 512,
  "embedding_size": 256,
  "nhid": 512,
  "nhead": 16,
  "nlayers": 6,
  "ndropout": 0.05,
  "cd_cnt": 75516,
  "target_cd_cnt": 6297,
  "lob_vocab": 4,
  "len_dy": 200,
  "len_cd": 80,
  "optimizer": "SGD",
  "learning_rate": 0.01,
  "momentum": 0.9,
  "scheduler": "CosineAnnealingLR",
  "T_max": 1,
  "loss": "BCEWithLogitsLoss",
  "gradient_clip": 0.25,
  "val_split": 0.1,
  "num_epochs": 1,
  "total_params": 24880025,
  "training_table": "edp-prod-storage.edp_ent_sdoheir_cns.a834793_Combined_All_LOB_o3_train_10pct_sample",
  "train_samples": 1579185,
  "val_samples": 175466,
  "parallel": true,
  "num_gpus": 4,
  "bug_fixes": [
    "no_log_softmax",
    "clip_before_step",
    "no_double_update"
  ],
  "mixed_precision": true,
  "differences_from_moe_framework": {
    "no_mixed_precision": false,
    "no_moe": true,
    "sgd_not_adamw": true,
    "nhid_512_not_1024": true,
    "batch_512_not_32": true
  }
}
2026-03-16 07:04:01 - legacy_replication - DEBUG -     Loss: 0.4852 | R@10: 0.011 | R@20: 0.029 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3859
2026-03-16 07:04:37 - legacy_replication - DEBUG -     Loss: 0.4817 | R@10: 0.006 | R@20: 0.024 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.3885
2026-03-16 07:05:13 - legacy_replication - DEBUG -     Loss: 0.4789 | R@10: 0.012 | R@20: 0.026 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.4071
2026-03-16 07:05:49 - legacy_replication - DEBUG -     Loss: 0.4739 | R@10: 0.007 | R@20: 0.025 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.4018
2026-03-16 07:07:20 - legacy_replication - DEBUG -     Loss: 0.4697 | R@10: 0.005 | R@20: 0.021 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.4054
2026-03-16 07:07:56 - legacy_replication - DEBUG -     Loss: 0.4665 | R@10: 0.004 | R@20: 0.033 | uR@10: 0.001 | P@10: 0.000 | NDCG@20: 0.003 | PosBrier: 0.3769
2026-03-16 07:08:33 - legacy_replication - DEBUG -     Loss: 0.4625 | R@10: 0.012 | R@20: 0.044 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.3971
2026-03-16 07:09:09 - legacy_replication - DEBUG -     Loss: 0.4587 | R@10: 0.007 | R@20: 0.028 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.4115
2026-03-16 07:09:45 - legacy_replication - DEBUG -     Loss: 0.4551 | R@10: 0.008 | R@20: 0.033 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.4008
2026-03-16 07:11:11 - legacy_replication - DEBUG -     Loss: 0.4521 | R@10: 0.007 | R@20: 0.024 | uR@10: 0.001 | P@10: 0.001 | NDCG@20: 0.002 | PosBrier: 0.4127
2026-03-16 07:11:48 - legacy_replication - DEBUG -     Loss: 0.4479 | R@10: 0.015 | R@20: 0.049 | uR@10: 0.003 | P@10: 0.002 | NDCG@20: 0.003 | PosBrier: 0.4126
2026-03-16 07:12:25 - legacy_replication - DEBUG -     Loss: 0.4442 | R@10: 0.013 | R@20: 0.045 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.4053
2026-03-16 07:13:01 - legacy_replication - DEBUG -     Loss: 0.4407 | R@10: 0.008 | R@20: 0.035 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.4091
2026-03-16 07:13:37 - legacy_replication - DEBUG -     Loss: 0.4372 | R@10: 0.023 | R@20: 0.055 | uR@10: 0.004 | P@10: 0.002 | NDCG@20: 0.004 | PosBrier: 0.4000
2026-03-16 07:15:06 - legacy_replication - DEBUG -     Loss: 0.4339 | R@10: 0.010 | R@20: 0.042 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.3994
2026-03-16 07:15:42 - legacy_replication - DEBUG -     Loss: 0.4304 | R@10: 0.013 | R@20: 0.049 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.4065
2026-03-16 07:16:19 - legacy_replication - DEBUG -     Loss: 0.4270 | R@10: 0.012 | R@20: 0.050 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.004 | PosBrier: 0.4194
2026-03-16 07:16:55 - legacy_replication - DEBUG -     Loss: 0.4232 | R@10: 0.010 | R@20: 0.039 | uR@10: 0.002 | P@10: 0.001 | NDCG@20: 0.003 | PosBrier: 0.4199
2026-03-16 07:17:32 - legacy_replication - DEBUG -     Loss: 0.4199 | R@10: 0.015 | R@20: 0.055 | uR@10: 0.003 | P@10: 0.001 | NDCG@20: 0.004 | PosBrier: 0.4270
2026-03-16 07:19:00 - legacy_replication - DEBUG -     Loss: 0.4168 | R@10: 0.015 | R@20: 0.039 | uR@10: 0.003 | P@10: 0.002 | NDCG@20: 0.003 | PosBrier: 0.4347
2026-03-16 07:19:37 - legacy_replication - DEBUG -     Loss: 0.4125 | R@10: 0.029 | R@20: 0.073 | uR@10: 0.005 | P@10: 0.003 | NDCG@20: 0.005 | PosBrier: 0.4133
2026-03-16 07:20:14 - legacy_replication - DEBUG -     Loss: 0.4097 | R@10: 0.022 | R@20: 0.060 | uR@10: 0.005 | P@10: 0.002 | NDCG@20: 0.005 | PosBrier: 0.4275
2026-03-16 07:20:50 - legacy_replication - DEBUG -     Loss: 0.4059 | R@10: 0.016 | R@20: 0.042 | uR@10: 0.004 | P@10: 0.002 | NDCG@20: 0.003 | PosBrier: 0.4365
2026-03-16 07:21:27 - legacy_replication - DEBUG -     Loss: 0.4024 | R@10: 0.020 | R@20: 0.063 | uR@10: 0.004 | P@10: 0.002 | NDCG@20: 0.005 | PosBrier: 0.4355
2026-03-16 07:23:01 - legacy_replication - DEBUG -     Loss: 0.4000 | R@10: 0.023 | R@20: 0.070 | uR@10: 0.004 | P@10: 0.002 | NDCG@20: 0.005 | PosBrier: 0.4309
2026-03-16 07:23:38 - legacy_replication - DEBUG -     Loss: 0.3960 | R@10: 0.030 | R@20: 0.067 | uR@10: 0.006 | P@10: 0.003 | NDCG@20: 0.005 | PosBrier: 0.4263
2026-03-16 07:24:15 - legacy_replication - DEBUG -     Loss: 0.3934 | R@10: 0.036 | R@20: 0.081 | uR@10: 0.006 | P@10: 0.004 | NDCG@20: 0.006 | PosBrier: 0.4428
2026-03-16 07:24:51 - legacy_replication - DEBUG -     Loss: 0.3908 | R@10: 0.037 | R@20: 0.088 | uR@10: 0.008 | P@10: 0.004 | NDCG@20: 0.007 | PosBrier: 0.4362
2026-03-16 07:25:27 - legacy_replication - DEBUG -     Loss: 0.3863 | R@10: 0.036 | R@20: 0.100 | uR@10: 0.007 | P@10: 0.004 | NDCG@20: 0.008 | PosBrier: 0.4398
2026-03-16 07:26:58 - legacy_replication - DEBUG -     Loss: 0.3842 | R@10: 0.027 | R@20: 0.074 | uR@10: 0.005 | P@10: 0.003 | NDCG@20: 0.006 | PosBrier: 0.4549
2026-03-16 07:27:35 - legacy_replication - DEBUG -     Loss: 0.3802 | R@10: 0.031 | R@20: 0.103 | uR@10: 0.006 | P@10: 0.003 | NDCG@20: 0.008 | PosBrier: 0.4498
2026-03-16 07:28:12 - legacy_replication - DEBUG -     Loss: 0.3787 | R@10: 0.030 | R@20: 0.079 | uR@10: 0.007 | P@10: 0.003 | NDCG@20: 0.006 | PosBrier: 0.4439
2026-03-16 07:28:49 - legacy_replication - DEBUG -     Loss: 0.3740 | R@10: 0.049 | R@20: 0.118 | uR@10: 0.010 | P@10: 0.005 | NDCG@20: 0.009 | PosBrier: 0.4450
2026-03-16 07:29:26 - legacy_replication - DEBUG -     Loss: 0.3706 | R@10: 0.040 | R@20: 0.112 | uR@10: 0.008 | P@10: 0.004 | NDCG@20: 0.010 | PosBrier: 0.4473
2026-03-16 07:30:56 - legacy_replication - DEBUG -     Loss: 0.3678 | R@10: 0.065 | R@20: 0.135 | uR@10: 0.011 | P@10: 0.007 | NDCG@20: 0.010 | PosBrier: 0.4538
2026-03-16 07:31:32 - legacy_replication - DEBUG -     Loss: 0.3653 | R@10: 0.049 | R@20: 0.099 | uR@10: 0.010 | P@10: 0.005 | NDCG@20: 0.007 | PosBrier: 0.4565
2026-03-16 07:32:09 - legacy_replication - DEBUG -     Loss: 0.3619 | R@10: 0.023 | R@20: 0.081 | uR@10: 0.006 | P@10: 0.002 | NDCG@20: 0.006 | PosBrier: 0.4562
2026-03-16 07:32:45 - legacy_replication - DEBUG -     Loss: 0.3597 | R@10: 0.056 | R@20: 0.102 | uR@10: 0.013 | P@10: 0.006 | NDCG@20: 0.008 | PosBrier: 0.4633
2026-03-16 07:33:22 - legacy_replication - DEBUG -     Loss: 0.3558 | R@10: 0.089 | R@20: 0.163 | uR@10: 0.013 | P@10: 0.009 | NDCG@20: 0.013 | PosBrier: 0.4643
2026-03-16 07:34:54 - legacy_replication - DEBUG -     Loss: 0.3538 | R@10: 0.054 | R@20: 0.148 | uR@10: 0.010 | P@10: 0.005 | NDCG@20: 0.012 | PosBrier: 0.4641
2026-03-16 07:35:31 - legacy_replication - DEBUG -     Loss: 0.3505 | R@10: 0.069 | R@20: 0.155 | uR@10: 0.013 | P@10: 0.007 | NDCG@20: 0.012 | PosBrier: 0.4648
2026-03-16 07:36:07 - legacy_replication - DEBUG -     Loss: 0.3468 | R@10: 0.064 | R@20: 0.123 | uR@10: 0.013 | P@10: 0.007 | NDCG@20: 0.010 | PosBrier: 0.4680
2026-03-16 07:36:43 - legacy_replication - DEBUG -     Loss: 0.3446 | R@10: 0.060 | R@20: 0.129 | uR@10: 0.012 | P@10: 0.006 | NDCG@20: 0.013 | PosBrier: 0.4743
2026-03-16 07:37:20 - legacy_replication - DEBUG -     Loss: 0.3421 | R@10: 0.095 | R@20: 0.187 | uR@10: 0.015 | P@10: 0.010 | NDCG@20: 0.015 | PosBrier: 0.4722
2026-03-16 07:38:56 - legacy_replication - DEBUG -     Loss: 0.3384 | R@10: 0.102 | R@20: 0.198 | uR@10: 0.018 | P@10: 0.010 | NDCG@20: 0.016 | PosBrier: 0.4611
2026-03-16 07:39:32 - legacy_replication - DEBUG -     Loss: 0.3361 | R@10: 0.074 | R@20: 0.137 | uR@10: 0.016 | P@10: 0.007 | NDCG@20: 0.012 | PosBrier: 0.4756
2026-03-16 07:40:09 - legacy_replication - DEBUG -     Loss: 0.3328 | R@10: 0.101 | R@20: 0.188 | uR@10: 0.021 | P@10: 0.011 | NDCG@20: 0.017 | PosBrier: 0.4739
2026-03-16 07:40:45 - legacy_replication - DEBUG -     Loss: 0.3309 | R@10: 0.055 | R@20: 0.123 | uR@10: 0.013 | P@10: 0.006 | NDCG@20: 0.011 | PosBrier: 0.4901
2026-03-16 07:41:21 - legacy_replication - DEBUG -     Loss: 0.3288 | R@10: 0.094 | R@20: 0.179 | uR@10: 0.018 | P@10: 0.009 | NDCG@20: 0.016 | PosBrier: 0.4895
2026-03-16 07:42:56 - legacy_replication - DEBUG -     Loss: 0.3254 | R@10: 0.117 | R@20: 0.206 | uR@10: 0.023 | P@10: 0.012 | NDCG@20: 0.019 | PosBrier: 0.4868
2026-03-16 07:43:32 - legacy_replication - DEBUG -     Loss: 0.3228 | R@10: 0.094 | R@20: 0.177 | uR@10: 0.020 | P@10: 0.010 | NDCG@20: 0.016 | PosBrier: 0.4892
2026-03-16 07:44:08 - legacy_replication - DEBUG -     Loss: 0.3203 | R@10: 0.134 | R@20: 0.245 | uR@10: 0.022 | P@10: 0.014 | NDCG@20: 0.022 | PosBrier: 0.5006
2026-03-16 07:44:45 - legacy_replication - DEBUG -     Loss: 0.3165 | R@10: 0.129 | R@20: 0.189 | uR@10: 0.030 | P@10: 0.013 | NDCG@20: 0.019 | PosBrier: 0.4947
2026-03-16 07:45:21 - legacy_replication - DEBUG -     Loss: 0.3139 | R@10: 0.117 | R@20: 0.201 | uR@10: 0.024 | P@10: 0.012 | NDCG@20: 0.018 | PosBrier: 0.4981
2026-03-16 07:46:58 - legacy_replication - DEBUG -     Loss: 0.3121 | R@10: 0.150 | R@20: 0.230 | uR@10: 0.029 | P@10: 0.016 | NDCG@20: 0.023 | PosBrier: 0.4892
2026-03-16 07:47:34 - legacy_replication - DEBUG -     Loss: 0.3086 | R@10: 0.143 | R@20: 0.217 | uR@10: 0.033 | P@10: 0.015 | NDCG@20: 0.024 | PosBrier: 0.5068
2026-03-16 07:48:11 - legacy_replication - DEBUG -     Loss: 0.3070 | R@10: 0.153 | R@20: 0.248 | uR@10: 0.031 | P@10: 0.016 | NDCG@20: 0.026 | PosBrier: 0.4886
2026-03-16 07:48:47 - legacy_replication - DEBUG -     Loss: 0.3048 | R@10: 0.144 | R@20: 0.207 | uR@10: 0.029 | P@10: 0.015 | NDCG@20: 0.022 | PosBrier: 0.5211
2026-03-16 07:49:23 - legacy_replication - DEBUG -     Loss: 0.3010 | R@10: 0.158 | R@20: 0.247 | uR@10: 0.034 | P@10: 0.016 | NDCG@20: 0.026 | PosBrier: 0.5054
2026-03-16 07:50:53 - legacy_replication - DEBUG -     Loss: 0.3004 | R@10: 0.142 | R@20: 0.233 | uR@10: 0.028 | P@10: 0.015 | NDCG@20: 0.023 | PosBrier: 0.4938
2026-03-16 07:51:29 - legacy_replication - DEBUG -     Loss: 0.2971 | R@10: 0.154 | R@20: 0.226 | uR@10: 0.034 | P@10: 0.016 | NDCG@20: 0.025 | PosBrier: 0.5217
2026-03-16 07:52:05 - legacy_replication - DEBUG -     Loss: 0.2941 | R@10: 0.164 | R@20: 0.251 | uR@10: 0.035 | P@10: 0.017 | NDCG@20: 0.026 | PosBrier: 0.5067
2026-03-16 07:52:42 - legacy_replication - DEBUG -     Loss: 0.2914 | R@10: 0.157 | R@20: 0.246 | uR@10: 0.035 | P@10: 0.016 | NDCG@20: 0.025 | PosBrier: 0.5117
