2026-01-08 08:19:11 - exp1_dense_baseline - DEBUG -     Loss: 0.0040 | R@10: 0.667 | R@20: 0.778 | μR@10: 0.346 | P@10: 0.176 | NDCG@20: 0.310 | PosBrier: 0.7869
2026-01-08 08:21:47 - exp1_dense_baseline - DEBUG -     Loss: 0.0038 | R@10: 0.639 | R@20: 0.755 | μR@10: 0.317 | P@10: 0.143 | NDCG@20: 0.274 | PosBrier: 0.8379
2026-01-08 08:24:28 - exp1_dense_baseline - DEBUG -     Loss: 0.0041 | R@10: 0.704 | R@20: 0.794 | μR@10: 0.387 | P@10: 0.208 | NDCG@20: 0.340 | PosBrier: 0.7347
2026-01-08 08:27:02 - exp1_dense_baseline - DEBUG -     Loss: 0.0037 | R@10: 0.702 | R@20: 0.794 | μR@10: 0.360 | P@10: 0.165 | NDCG@20: 0.328 | PosBrier: 0.7920
2026-01-08 08:29:38 - exp1_dense_baseline - DEBUG -     Loss: 0.0035 | R@10: 0.701 | R@20: 0.792 | μR@10: 0.397 | P@10: 0.185 | NDCG@20: 0.339 | PosBrier: 0.7553
2026-01-08 08:32:20 - exp1_dense_baseline - DEBUG -     Loss: 0.0039 | R@10: 0.660 | R@20: 0.770 | μR@10: 0.339 | P@10: 0.162 | NDCG@20: 0.298 | PosBrier: 0.8163
2026-01-08 08:34:54 - exp1_dense_baseline - DEBUG -     Loss: 0.0039 | R@10: 0.718 | R@20: 0.796 | μR@10: 0.359 | P@10: 0.186 | NDCG@20: 0.323 | PosBrier: 0.7803
2026-01-08 08:37:29 - exp1_dense_baseline - DEBUG -     Loss: 0.0037 | R@10: 0.718 | R@20: 0.817 | μR@10: 0.394 | P@10: 0.198 | NDCG@20: 0.354 | PosBrier: 0.7492
2026-01-08 08:40:06 - exp1_dense_baseline - DEBUG -     Loss: 0.0038 | R@10: 0.692 | R@20: 0.787 | μR@10: 0.358 | P@10: 0.170 | NDCG@20: 0.331 | PosBrier: 0.7927
2026-01-08 08:42:41 - exp1_dense_baseline - DEBUG -     Loss: 0.0037 | R@10: 0.734 | R@20: 0.817 | μR@10: 0.377 | P@10: 0.187 | NDCG@20: 0.349 | PosBrier: 0.7597
2026-01-08 08:45:17 - exp1_dense_baseline - DEBUG -     Loss: 0.0037 | R@10: 0.687 | R@20: 0.788 | μR@10: 0.381 | P@10: 0.184 | NDCG@20: 0.335 | PosBrier: 0.7701
2026-01-08 08:47:51 - exp1_dense_baseline - DEBUG -     Loss: 0.0035 | R@10: 0.726 | R@20: 0.815 | μR@10: 0.391 | P@10: 0.184 | NDCG@20: 0.346 | PosBrier: 0.7709
2026-01-08 08:50:27 - exp1_dense_baseline - DEBUG -     Loss: 0.0039 | R@10: 0.711 | R@20: 0.806 | μR@10: 0.375 | P@10: 0.198 | NDCG@20: 0.350 | PosBrier: 0.7667
